Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_20_50_10_10_1_1_5_2_5_0.2_5,5000,21.56,0.00,100.00,3000,72,815,27.17,0,100,16.666666666666668,5,Bots Recharged for WPT: 72
1_20_50_20_10_1_1_5_2_5_0.2_5,5000,20.16,0.00,100.00,3000,7,1223,40.77,0,100,25.73333333333336,4,Bots Recharged for WPT: 7
1_20_50_50_10_1_1_5_2_5_0.2_5,5000,22.68,0.00,100.00,3000,11,1091,36.37,0,100,38.40000000000003,3,Bots Recharged for WPT: 11
1_50_1_1_10_1_1_5_2_5_0.2_5,3235,23.80,40.00,60.00,3000,4,1679,55.97,0,100,28.800000000000015,4,Bots Recharged for WPT: 4
1_50_1_10_10_1_1_5_2_5_0.2_5,4466,25.24,50.00,50.00,3000,7,1193,39.77,0,100,25.200000000000017,4,Bots Recharged for WPT: 7
1_50_1_20_10_1_1_5_2_5_0.2_5,2153,29.96,70.00,30.00,3000,9,1035,34.50,0,100,26.000000000000025,4,Bots Recharged for WPT: 9
1_50_1_50_10_1_1_5_2_5_0.2_5,3668,25.20,30.00,70.00,3000,8,1257,41.90,0,100,25.200000000000028,4,Bots Recharged for WPT: 8
1_50_10_1_10_1_1_5_2_5_0.2_5,4599,26.52,20.00,80.00,3000,12,512,17.07,0,100,44.33938396093655,1,Bots Recharged for WPT: 12
1_50_10_10_10_1_1_5_2_5_0.2_5,4558,25.88,10.00,90.00,3000,13,924,30.80,0,100,46.26666666666673,2,Bots Recharged for WPT: 13
1_50_10_20_10_1_1_5_2_5_0.2_5,5000,25.56,0.00,100.00,3000,13,1188,39.60,0,100,34.53333333333337,3,Bots Recharged for WPT: 13
1_50_10_50_10_1_1_5_2_5_0.2_5,5000,19.48,0.00,100.00,3000,5,980,32.67,0,100,28.400000000000016,4,Bots Recharged for WPT: 5
1_50_20_1_10_1_1_5_2_5_0.2_5,4784,25.20,10.00,90.00,3000,74,1320,44.00,0,100,16.666666666666668,5,Bots Recharged for WPT: 74
1_50_20_10_10_1_1_5_2_5_0.2_5,4795,21.76,10.00,90.00,3000,10,1136,37.87,0,100,42.347856476999816,2,Bots Recharged for WPT: 10
1_50_20_20_10_1_1_5_2_5_0.2_5,5000,23.44,0.00,100.00,3000,8,1430,47.67,0,100,39.33333333333337,3,Bots Recharged for WPT: 8
1_50_20_50_10_1_1_5_2_5_0.2_5,5000,21.32,0.00,100.00,3000,19,353,11.77,77.60000000000008,100,90.00000000000001,0,Bots Recharged for WPT: 19
1_50_50_1_10_1_1_5_2_5_0.2_5,5000,21.32,0.00,100.00,3000,9,957,31.90,0,100,53.600000000000044,2,Bots Recharged for WPT: 9
1_50_50_10_10_1_1_5_2_5_0.2_5,5000,22.24,0.00,100.00,3000,11,981,32.70,0,100,31.21399397839801,3,Bots Recharged for WPT: 11
1_50_50_20_10_1_1_5_2_5_0.2_5,5000,19.76,0.00,100.00,3000,6,1608,53.60,0,100,24.53333333333336,4,Bots Recharged for WPT: 6
1_50_50_50_10_1_1_5_2_5_0.2_5,5000,20.24,0.00,100.00,3000,6,1158,38.60,0,100,27.20000000000002,4,Bots Recharged for WPT: 6
10_1_1_1_10_1_1_5_2_5_0.2_5,3942,24.12,30.00,70.00,3000,3,547,18.23,0,100,56.53333333333337,2,Bots Recharged for WPT: 3
10_1_1_10_10_1_1_5_2_5_0.2_5,4375,24.80,20.00,80.00,3000,5,422,14.07,0,100,69.33333333333339,1,Bots Recharged for WPT: 5
10_1_1_20_10_1_1_5_2_5_0.2_5,3284,24.44,40.00,60.00,3000,4,547,18.23,0,100,65.73333333333339,1,Bots Recharged for WPT: 4
10_1_1_50_10_1_1_5_2_5_0.2_5,3044,27.56,90.00,10.00,3000,4,797,26.57,0,100,44.53333333333335,3,Bots Recharged for WPT: 4
10_1_10_1_10_1_1_5_2_5_0.2_5,2527,21.04,60.00,40.00,3000,1,869,28.97,0,100,43.33333333333335,3,Bots Recharged for WPT: 1
10_1_10_10_10_1_1_5_2_5_0.2_5,4681,22.60,30.00,70.00,3000,1,1046,34.87,0,100,30.133333333333344,4,Bots Recharged for WPT: 1
10_1_10_20_10_1_1_5_2_5_0.2_5,5000,20.92,0.00,100.00,3000,1,880,29.33,0,100,44.666666666666686,3,Bots Recharged for WPT: 1
10_1_10_50_10_1_1_5_2_5_0.2_5,3761,25.40,50.00,50.00,3000,4,723,24.10,0,100,45.20000000000002,3,Bots Recharged for WPT: 4
10_1_20_1_10_1_1_5_2_5_0.2_5,4131,23.28,30.00,70.00,3000,1,952,31.73,0,100,41.0666666666667,3,Bots Recharged for WPT: 1
10_1_20_10_10_1_1_5_2_5_0.2_5,4471,24.92,30.00,70.00,3000,2,773,25.77,0,100,43.200000000000024,3,Bots Recharged for WPT: 2
10_1_20_20_10_1_1_5_2_5_0.2_5,3572,24.48,40.00,60.00,3000,2,1066,35.53,0,100,45.066666666666684,3,Bots Recharged for WPT: 2
10_1_20_50_10_1_1_5_2_5_0.2_5,4267,22.80,30.00,70.00,3000,1,1054,35.13,0,100,31.57491090002232,3,Bots Recharged for WPT: 1
10_1_50_1_10_1_1_5_2_5_0.2_5,4734,24.08,20.00,80.00,3000,3,772,25.73,0,100,42.266666666666694,3,Bots Recharged for WPT: 3
10_1_50_10_10_1_1_5_2_5_0.2_5,4659,22.68,10.00,90.00,3000,4,411,13.70,0,100,63.733333333333384,1,Bots Recharged for WPT: 4
10_1_50_20_10_1_1_5_2_5_0.2_5,3668,20.00,30.00,70.00,3000,3,769,25.63,0,100,59.60000000000002,2,Bots Recharged for WPT: 3
10_1_50_50_10_1_1_5_2_5_0.2_5,4337,24.48,20.00,80.00,3000,7,371,12.37,0,100,66.53333333333339,1,Bots Recharged for WPT: 7
10_10_1_1_10_1_1_5_2_5_0.2_5,3911,23.68,40.00,60.00,3000,5,960,32.00,0,100,38.400000000000034,3,Bots Recharged for WPT: 5
10_10_1_10_10_1_1_5_2_5_0.2_5,4712,23.92,10.00,90.00,3000,24,1264,42.13,0,100,16.666666666666668,5,Bots Recharged for WPT: 24
10_10_1_20_10_1_1_5_2_5_0.2_5,4579,24.88,20.00,80.00,3000,2,1160,38.67,0,100,24.53333333333336,4,Bots Recharged for WPT: 2
10_10_1_50_10_1_1_5_2_5_0.2_5,1335,22.88,100.00,0.00,1584,3,221,13.95,0,100,66.26666666666672,1,Bots Recharged for WPT: 3
10_10_10_1_10_1_1_5_2_5_0.2_5,2302,29.04,80.00,20.00,3000,4,684,22.80,0,100,34.13333333333339,3,Bots Recharged for WPT: 4
10_10_10_10_10_1_1_5_2_5_0.2_5,4104,23.88,20.00,80.00,3000,6,602,20.07,0,100,50.80000000000005,2,Bots Recharged for WPT: 6
10_10_10_20_10_1_1_5_2_5_0.2_5,4053,23.08,30.00,70.00,3000,2,1000,33.33,0,100,18.933333333333362,4,Bots Recharged for WPT: 2
10_10_10_50_10_1_1_5_2_5_0.2_5,4444,26.08,20.00,80.00,3000,4,653,21.77,0,100,33.46666666666671,3,Bots Recharged for WPT: 4
10_10_20_1_10_1_1_5_2_5_0.2_5,4374,21.52,20.00,80.00,3000,13,1053,35.10,0,100,16.666666666666668,5,Bots Recharged for WPT: 13
10_10_20_10_10_1_1_5_2_5_0.2_5,4048,24.00,30.00,70.00,3000,2,1193,39.77,0,100,16.666666666666668,5,Bots Recharged for WPT: 2
10_10_20_20_10_1_1_5_2_5_0.2_5,3955,26.16,60.00,40.00,3000,3,861,28.70,0,100,21.597291212233287,4,Bots Recharged for WPT: 3
10_10_20_50_10_1_1_5_2_5_0.2_5,3744,22.84,30.00,70.00,3000,3,1107,36.90,0,100,32.28568391051743,3,Bots Recharged for WPT: 3
10_10_50_1_10_1_1_5_2_5_0.2_5,5000,24.36,0.00,100.00,3000,2,1147,38.23,0,100,26.000000000000025,4,Bots Recharged for WPT: 2
10_10_50_10_10_1_1_5_2_5_0.2_5,4705,22.60,10.00,90.00,3000,3,690,23.00,0,100,35.200000000000045,3,Bots Recharged for WPT: 3
10_10_50_20_10_1_1_5_2_5_0.2_5,4761,22.76,10.00,90.00,3000,4,714,23.80,0,100,50.93333333333339,2,Bots Recharged for WPT: 4
10_10_50_50_10_1_1_5_2_5_0.2_5,4703,23.32,10.00,90.00,3000,2,1283,42.77,0,100,23.646802950544384,4,Bots Recharged for WPT: 2
10_20_1_1_10_1_1_5_2_5_0.2_5,4011,27.12,40.00,60.00,3000,4,1011,33.70,0,100,32.53333333333334,4,Bots Recharged for WPT: 4
10_20_1_10_10_1_1_5_2_5_0.2_5,5000,21.92,0.00,100.00,3000,5,589,19.63,0,100,41.73333333333339,2,Bots Recharged for WPT: 5
10_20_1_20_10_1_1_5_2_5_0.2_5,3192,25.80,50.00,50.00,3000,4,1011,33.70,0,100,29.190450505197457,3,Bots Recharged for WPT: 4
10_20_1_50_10_1_1_5_2_5_0.2_5,5000,22.88,0.00,100.00,3000,3,911,30.37,0,100,19.895442085167264,4,Bots Recharged for WPT: 3
10_20_10_1_10_1_1_5_2_5_0.2_5,3190,26.88,50.00,50.00,3000,5,479,15.97,0,100,42.80000000000007,2,Bots Recharged for WPT: 5
10_20_10_10_10_1_1_5_2_5_0.2_5,4135,23.64,20.00,80.00,3000,4,810,27.00,0,100,41.066666666666734,2,Bots Recharged for WPT: 4
10_20_10_20_10_1_1_5_2_5_0.2_5,5000,21.12,0.00,100.00,3000,29,1283,42.77,0,100,16.666666666666668,5,Bots Recharged for WPT: 29
10_20_10_50_10_1_1_5_2_5_0.2_5,3694,22.96,40.00,60.00,3000,5,790,26.33,0,100,47.471302021069164,2,Bots Recharged for WPT: 5
10_20_20_1_10_1_1_5_2_5_0.2_5,4216,25.60,30.00,70.00,3000,3,1212,40.40,0,100,16.666666666666668,5,Bots Recharged for WPT: 3
10_20_20_10_10_1_1_5_2_5_0.2_5,3665,24.68,30.00,70.00,3000,4,852,28.40,0,100,31.112141990926602,3,Bots Recharged for WPT: 4
10_20_20_20_10_1_1_5_2_5_0.2_5,4564,25.20,20.00,80.00,3000,5,797,26.57,0,100,46.533333333333395,2,Bots Recharged for WPT: 5
10_20_20_50_10_1_1_5_2_5_0.2_5,4080,24.32,30.00,70.00,3000,33,1315,43.83,0,100,16.666666666666668,5,Bots Recharged for WPT: 33
10_20_50_1_10_1_1_5_2_5_0.2_5,5000,20.28,0.00,100.00,3000,57,1434,47.80,0,100,16.666666666666668,5,Bots Recharged for WPT: 57
10_20_50_10_10_1_1_5_2_5_0.2_5,4543,23.44,10.00,90.00,3000,10,1315,43.83,0,100,16.666666666666668,5,Bots Recharged for WPT: 10
10_20_50_20_10_1_1_5_2_5_0.2_5,4571,22.76,20.00,80.00,3000,4,1365,45.50,0,100,18.510182040249937,4,Bots Recharged for WPT: 4
10_20_50_50_10_1_1_5_2_5_0.2_5,3631,20.80,30.00,70.00,3000,7,906,30.20,0,100,41.333333333333364,3,Bots Recharged for WPT: 7
10_50_1_1_10_1_1_5_2_5_0.2_5,2812,22.28,50.00,50.00,3000,48,985,32.83,0,100,16.666666666666668,5,Bots Recharged for WPT: 48
10_50_1_10_10_1_1_5_2_5_0.2_5,1819,29.60,90.00,10.00,3000,56,1512,50.40,0,100,16.666666666666668,5,Bots Recharged for WPT: 56
10_50_1_20_10_1_1_5_2_5_0.2_5,3383,29.72,70.00,30.00,3000,6,1417,47.23,0,100,31.600000000000005,4,Bots Recharged for WPT: 6
10_50_1_50_10_1_1_5_2_5_0.2_5,2956,27.04,70.00,30.00,3000,92,1700,56.67,0,100,16.666666666666668,5,Bots Recharged for WPT: 92
10_50_10_1_10_1_1_5_2_5_0.2_5,4557,19.76,10.00,90.00,3000,103,1654,55.13,0,100,16.666666666666668,5,Bots Recharged for WPT: 103
10_50_10_10_10_1_1_5_2_5_0.2_5,2551,26.44,60.00,40.00,3000,4,1365,45.50,0,100,33.06666666666667,4,Bots Recharged for WPT: 4
10_50_10_20_10_1_1_5_2_5_0.2_5,3840,25.40,30.00,70.00,3000,4,1197,39.90,0,100,23.466666666666693,4,Bots Recharged for WPT: 4
10_50_10_50_10_1_1_5_2_5_0.2_5,4320,21.72,20.00,80.00,3000,68,1169,38.97,0,100,16.666666666666668,5,Bots Recharged for WPT: 68
10_50_20_1_10_1_1_5_2_5_0.2_5,3342,24.52,40.00,60.00,3000,50,1703,56.77,0,100,16.666666666666668,5,Bots Recharged for WPT: 50
10_50_20_10_10_1_1_5_2_5_0.2_5,4092,25.52,20.00,80.00,3000,42,1391,46.37,0,100,16.666666666666668,5,Bots Recharged for WPT: 42
10_50_20_20_10_1_1_5_2_5_0.2_5,1517,28.52,90.00,10.00,3000,16,1608,53.60,0,100,16.666666666666668,5,Bots Recharged for WPT: 16
10_50_20_50_10_1_1_5_2_5_0.2_5,5000,27.00,0.00,100.00,3000,7,1070,35.67,0,100,16.666666666666668,5,Bots Recharged for WPT: 7
10_50_50_1_10_1_1_5_2_5_0.2_5,4623,19.92,10.00,90.00,3000,83,1551,51.70,0,100,16.666666666666668,5,Bots Recharged for WPT: 83
10_50_50_10_10_1_1_5_2_5_0.2_5,4185,26.44,20.00,80.00,3000,5,920,30.67,0,100,24.133333333333358,4,Bots Recharged for WPT: 5
10_50_50_20_10_1_1_5_2_5_0.2_5,5000,25.84,0.00,100.00,3000,7,814,27.13,0,100,43.583371285338664,2,Bots Recharged for WPT: 7
10_50_50_50_10_1_1_5_2_5_0.2_5,4703,25.64,10.00,90.00,3000,27,1290,43.00,0,100,16.666666666666668,5,Bots Recharged for WPT: 27
20_1_1_1_10_1_1_5_2_5_0.2_5,4142,24.44,30.00,70.00,3000,2,509,16.97,0,100,57.73333333333337,2,Bots Recharged for WPT: 2
20_1_1_10_10_1_1_5_2_5_0.2_5,4653,24.20,10.00,90.00,3000,2,501,16.70,0,100,58.66666666666669,2,Bots Recharged for WPT: 2
20_1_1_20_10_1_1_5_2_5_0.2_5,2745,22.56,60.00,40.00,3000,2,642,21.40,0,100,51.17384684496593,2,Bots Recharged for WPT: 2
20_1_1_50_10_1_1_5_2_5_0.2_5,4658,21.28,10.00,90.00,3000,2,357,11.90,0,100,60.133333333333404,1,Bots Recharged for WPT: 2
20_1_10_1_10_1_1_5_2_5_0.2_5,5000,20.80,0.00,100.00,3000,1,692,23.07,0,100,58.13333333333336,2,Bots Recharged for WPT: 1
20_1_10_10_10_1_1_5_2_5_0.2_5,3844,22.28,50.00,50.00,3000,1,598,19.93,0,100,54.666666666666714,2,Bots Recharged for WPT: 1
20_1_10_20_10_1_1_5_2_5_0.2_5,4852,22.32,10.00,90.00,3000,2,501,16.70,0,100,61.997785676146655,1,Bots Recharged for WPT: 2
20_1_10_50_10_1_1_5_2_5_0.2_5,3592,21.72,40.00,60.00,3000,1,464,15.47,0,100,57.60000000000003,2,Bots Recharged for WPT: 1
20_1_20_1_10_1_1_5_2_5_0.2_5,4128,24.16,60.00,40.00,3000,1,741,24.70,0,100,46.90216013412553,2,Bots Recharged for WPT: 1
20_1_20_10_10_1_1_5_2_5_0.2_5,4008,21.08,30.00,70.00,3000,1,696,23.20,0,100,58.13333333333336,2,Bots Recharged for WPT: 1
20_1_20_20_10_1_1_5_2_5_0.2_5,2603,26.32,60.00,40.00,3000,3,525,17.50,0,100,45.86666666666668,3,Bots Recharged for WPT: 3
20_1_20_50_10_1_1_5_2_5_0.2_5,3774,21.16,40.00,60.00,3000,2,683,22.77,0,100,51.8093783572095,2,Bots Recharged for WPT: 2
20_1_50_1_10_1_1_5_2_5_0.2_5,3995,26.76,50.00,50.00,3000,3,368,12.27,0,100,59.60000000000002,2,Bots Recharged for WPT: 3
20_1_50_10_10_1_1_5_2_5_0.2_5,2370,24.36,70.00,30.00,3000,2,573,19.10,0,100,58.80000000000003,2,Bots Recharged for WPT: 2
20_1_50_20_10_1_1_5_2_5_0.2_5,4110,23.76,20.00,80.00,3000,4,222,7.40,0,100,72.40000000000003,1,Bots Recharged for WPT: 4
20_1_50_50_10_1_1_5_2_5_0.2_5,3728,22.92,40.00,60.00,3000,2,717,23.90,0,100,54.26666666666671,2,Bots Recharged for WPT: 2
20_10_1_1_10_1_1_5_2_5_0.2_5,4142,24.88,30.00,70.00,3000,3,750,25.00,0,100,40.80000000000003,3,Bots Recharged for WPT: 3
20_10_1_10_10_1_1_5_2_5_0.2_5,4337,22.20,20.00,80.00,3000,2,569,18.97,0,100,38.13333333333337,3,Bots Recharged for WPT: 2
20_10_1_20_10_1_1_5_2_5_0.2_5,3921,26.48,50.00,50.00,3000,3,704,23.47,0,100,29.208528342634025,3,Bots Recharged for WPT: 3
20_10_1_50_10_1_1_5_2_5_0.2_5,2854,29.32,70.00,30.00,3000,5,918,30.60,0,100,44.6908002562619,2,Bots Recharged for WPT: 5
20_10_10_1_10_1_1_5_2_5_0.2_5,4775,23.52,10.00,90.00,3000,3,1050,35.00,0,100,42.13333333333336,3,Bots Recharged for WPT: 3
20_10_10_10_10_1_1_5_2_5_0.2_5,3652,25.68,50.00,50.00,3000,5,208,6.93,0,100,59.06666666666674,1,Bots Recharged for WPT: 5
20_10_10_20_10_1_1_5_2_5_0.2_5,5000,21.40,0.00,100.00,3000,2,578,19.27,0,100,32.49768856674626,3,Bots Recharged for WPT: 2
20_10_10_50_10_1_1_5_2_5_0.2_5,4624,25.80,40.00,60.00,3000,4,612,20.40,0,100,38.66666666666671,3,Bots Recharged for WPT: 4
