Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
50_50_10_20_10_1_1_5_2_5_0.2_5,5000,53.76,0.00,100.00,3000,28,990,33.00,0,100,29.23116072878281,3,Bots Recharged for WPT: 28
50_50_10_50_10_1_1_5_2_5_0.2_5,4562,36.52,10.00,90.00,3000,8,1130,37.67,0,100,41.73333333333336,3,Bots Recharged for WPT: 8
50_50_20_1_10_1_1_5_2_5_0.2_5,5000,62.60,0.00,100.00,3000,28,578,19.27,0,100,55.86666666666676,1,Bots Recharged for WPT: 28
50_50_20_10_10_1_1_5_2_5_0.2_5,4507,50.60,30.00,70.00,3000,30,1045,34.83,0,100,35.20000000000005,3,Bots Recharged for WPT: 30
50_50_20_20_10_1_1_5_2_5_0.2_5,4539,24.44,10.00,90.00,3000,1,1610,53.67,0,100,22.13333333333337,4,Bots Recharged for WPT: 1
50_50_20_50_10_1_1_5_2_5_0.2_5,5000,40.12,0.00,100.00,3000,9,1103,36.77,0,100,42.266666666666694,3,Bots Recharged for WPT: 9
50_50_50_1_10_1_1_5_2_5_0.2_5,4015,47.12,30.00,70.00,3000,20,280,9.33,0,100,47.86666666666673,2,Bots Recharged for WPT: 20
50_50_50_10_10_1_1_5_2_5_0.2_5,5000,40.96,0.00,100.00,3000,4,1100,36.67,0,100,22.000000000000018,4,Bots Recharged for WPT: 4
50_50_50_20_10_1_1_5_2_5_0.2_5,3867,52.16,50.00,50.00,3000,43,771,25.70,0,100,62.29293663466088,1,Bots Recharged for WPT: 43
50_50_50_50_10_1_1_5_2_5_0.2_5,5000,47.40,0.00,100.00,3000,34,803,26.77,0,100,44.980565208138394,2,Bots Recharged for WPT: 34
